EPIC-ME	Epic Gas	14,60	0,00%	13,80	14,60	14:24	0,01	2	1 556,60
EQNR	Equinor	181,50	1,99%	181,45	181,55	14:50	307,61	5202	599 858,97
EPR	Europris	34,88	2,89%	34,86	34,90	14:48	12,77	659	5 783,75
FJORD	Fjord1	36,30	-2,68%	36,20	36,30	14:31	0,07	14	3 626,12
FKRAFT	Fjordkraft Holding	56,40	-1,91%	56,20	56,40	14:49	4,52	226	5 893,59
FLNG	FLEX LNG	93,40	-0,64%	93,30	93,60	14:48	16,83	499	5 053,93
FRO	Frontline	115,70	2,03%	115,60	115,80	14:50	127,97	2557	22 780,67
FUNCOM	Funcom	13,00	-2,26%	12,95	13,00	14:50	4,20	277	1 004,73
GIG	Gaming Innovation Group	8,09	-0,98%	8,06	8,16	14:39	0,75	98	722,35
RISH	GC Rieber Shipping	9,05	4,02%	8,25	8,95	14:15	0,01	5	778,60
GENT-ME	Gentian Diagnostics	62,00	-2,82%	60,40	61,80	12:44	0,43	17	954,97
GJF	Gjensidige Forsikring	185,00	0,46%	184,90	185,00	14:46	24,29	1025	92 496,57
GEOS-ME	Golden Energy Offshore Services	4,08	0,00%	3,06	4,08	13:38	0,00	4	144,50
GOGL	Golden Ocean Group	47,38	-5,90%	47,34	47,40	14:49	64,19	2251	6 788,50
GOD	Goodtech	6,80	0,00%	6,80	6,95	13:53	0,09	10	153,78
GSF	Grieg Seafood	142,00	0,92%	141,90	142,20	14:47	19,73	688	15 681,57
GRONG-ME	Grong Sparebank	108,00	-	106,00	107,00	02 jan	0,00	0	321,03
GYL	Gyldendal	450,00	-	430,00	450,00	30 des	0,00	0	1 038,21
HAFNIA	Hafnia Limited	28,04	0,13%	28,04	28,08	14:42	6,96	175	10 379,80
HAVI	Havila Shipping	3,02	-0,66%	2,96	3,02	12:10	0,02	3	71,80
HYARD	Havyard Group	3,16	0,00%	2,99	3,15	13:52	0,05	16	78,13
HELG	Helgeland Sparebank	82,50	0,61%	82,00	82,50	14:13	0,93	14	1 717,90
HEX	Hexagon Composites	36,35	-4,34%	36,40	36,45	14:48	14,77	821	6 590,83
HIDDN	Hiddn Solutions	1,68	-3,45%	1,67	1,71	14:47	0,71	89	27,01
HBC	Hofseth BioCare	9,58	0,84%	9,58	9,66	14:37	0,90	75	3 121,31
HUNT	Hunter Group	5,57	1,46%	5,56	5,57	14:45	16,78	746	3 204,77
HLNG	Höegh LNG Holdings	33,70	-0,74%	33,70	33,75	14:46	0,28	47	2 567,27
HSPG	Høland og Setskog Sparebank	121,00	-	113,00	118,00	02 jan	0,00	0	83,24
ICE	Ice Group	19,60	-0,51%	19,60	19,70	13:11	0,03	5	3 953,20
IDEX	IDEX Biometrics	1,15	-7,56%	1,15	1,16	14:48	10,16	741	825,69
INC	Incus Investor	0,76	-11,11%	0,76	0,84	14:17	0,14	16	81,71
INDUCT-ME	Induct	3,76	-18,26%	3,78	4,40	14:27	0,02	2	40,33
INFRNT	Infront	24,20	0,00%	24,00	24,20	14:08	0,15	15	1 051,05
INSR	Insr Insurance Group	6,50	-2,69%	6,50	6,66	13:55	0,06	15	963,09
IOX	Interoil Exploration and Production	3,08	4,59%	2,98	3,07	14:47	1,47	105	297,89
ITE	Itera	11,80	-4,45%	11,80	12,00	12:29	0,04	6	960,47
JPK-ME	J.P. Kenny Petroleum	6,00	-	3,20	-	27 nov	0,00	0	63,88
JIN	Jinhui Shipping and Transportation	5,53	-1,43%	5,54	5,60	14:10	1,20	53	604,20
JAEREN	Jæren Sparebank	151,00	-	148,00	153,00	12:53	0,03	1	744,75
KAHOOT-ME	Kahoot!	65,20	1,62%	65,20	65,50	14:36	1,38	65	8 434,24
KID	Kid	53,00	-0,75%	52,80	53,40	14:24	2,58	80	2 154,19
KIT	Kitron	10,58	-2,94%	10,58	10,60	14:38	4,50	188	1 894,92
KCC	Klaveness Combination Carriers	47,20	-	43,90	48,00	02 jan	0,00	0	2 266,87
